SH600000	2007-05-29	2020-10-20
SH600009	2018-06-11	2020-10-20
SH600015	2007-05-29	2020-10-20
SH600016	2007-05-29	2020-10-20
SH600018	2013-12-16	2020-10-20
SH600019	2007-05-29	2020-10-20
SH600025	2018-06-11	2020-10-20
SH600028	2007-05-29	2020-10-20
SH600030	2007-05-29	2020-10-20
SH600031	2019-12-16	2020-10-20
SH600036	2007-05-29	2020-10-20
SH600048	2007-05-29	2020-10-20
SH600050	2007-05-29	2020-10-20
SH600104	2007-05-29	2020-10-20
SH600276	2013-01-04	2020-10-20
SH600309	2017-12-11	2020-10-20
SH600340	2015-12-14	2020-10-20
SH600346	2019-12-16	2020-10-20
SH600406	2019-06-17	2020-10-20
SH600519	2007-05-29	2020-10-20
SH600585	2007-05-29	2020-10-20
SH600606	2016-06-13	2020-10-20
SH600690	2013-12-16	2020-10-20
SH600837	2007-05-29	2020-10-20
SH600887	2013-01-04	2020-10-20
SH600900	2007-05-29	2020-10-20
SH600919	2017-06-12	2020-10-20
SH600999	2010-07-01	2020-10-20
SH601006	2007-05-29	2020-10-20
SH601009	2017-06-12	2020-10-20
SH601066	2019-06-17	2020-10-20
SH601088	2007-05-29	2020-10-20
SH601111	2007-05-29	2020-10-20
SH601138	2018-12-17	2020-10-20
SH601166	2007-05-29	2020-10-20
SH601169	2007-05-29	2020-10-20
SH601186	2007-05-29	2020-10-20
SH601211	2015-12-14	2020-10-20
SH601225	2014-06-16	2020-10-20
SH601229	2017-06-12	2020-10-20
SH601238	2018-06-11	2020-10-20
SH601288	2007-05-29	2020-10-20
SH601318	2007-05-29	2020-10-20
SH601319	2019-06-17	2020-10-20
SH601328	2007-05-29	2020-10-20
SH601336	2012-07-02	2020-10-20
SH601360	2018-06-11	2020-10-20
SH601390	2008-07-01	2020-10-20
SH601398	2007-05-29	2020-10-20
SH601601	2008-07-01	2020-10-20
SH601628	2007-05-29	2020-10-20
SH601658	2020-06-15	2020-10-20
SH601668	2010-01-04	2020-10-20
SH601669	2012-07-02	2020-10-20
SH601688	2010-07-01	2020-10-20
SH601766	2009-07-01	2020-10-20
SH601800	2013-01-04	2020-10-20
SH601816	2020-06-15	2020-10-20
SH601818	2011-01-04	2020-10-20
SH601857	2007-05-29	2020-10-20
SH601881	2017-06-12	2020-10-20
SH601888	2018-12-17	2020-10-20
SH601899	2007-05-29	2020-10-20
SH601933	2018-06-11	2020-10-20
SH601985	2015-12-14	2020-10-20
SH601988	2007-05-29	2020-10-20
SH601989	2010-07-01	2020-10-20
SH601998	2007-05-29	2020-10-20
SH603160	2020-06-15	2020-10-20
SH603259	2018-12-17	2020-10-20
SH603288	2018-06-11	2020-10-20
SH603993	2017-12-11	2020-10-20
SZ000001	2007-05-29	2020-10-20
SZ000002	2007-05-29	2020-10-20
SZ000063	2007-05-29	2020-10-20
SZ000166	2007-05-29	2020-10-20
SZ000333	2007-05-29	2020-10-20
SZ000538	2011-07-01	2020-10-20
SZ000568	2018-06-11	2020-10-20
SZ000651	2007-05-29	2020-10-20
SZ000725	2014-12-15	2020-10-20
SZ000776	2011-01-04	2020-10-20
SZ000858	2007-05-29	2020-10-20
SZ000895	2011-07-01	2020-10-20
SZ001979	2016-06-13	2020-10-20
SZ002024	2007-05-29	2020-10-20
SZ002027	2016-06-13	2020-10-20
SZ002142	2017-06-12	2020-10-20
SZ002304	2010-07-01	2020-10-20
SZ002352	2017-06-12	2020-10-20
SZ002415	2011-07-01	2020-10-20
SZ002475	2019-12-16	2020-10-20
SZ002594	2012-07-02	2020-10-20
SZ002607	2020-06-15	2020-10-20
SZ002714	2020-06-15	2020-10-20
SZ002736	2015-06-15	2020-10-20
SZ003816	2020-06-15	2020-10-20
SZ300015	2019-12-16	2020-10-20
SZ300059	2015-12-14	2020-10-20
SZ300498	2019-06-17	2020-10-20
